bodypartused,playerId,y,x,matchId,teamId,matchPeriod,eventSec,eventId,counter,goal,shotangle,distance_to_goal
401,70122,50,75,2499724,1611,0,1836.437677,178494917,0,0,15.18928674,30
402,8561,31,79,2499724,1633,0,2174.93755,178495072,0,0,13.3414593,29.42923716
402,7938,70,78,2499724,1611,0,2250.017266,178495024,0,0,12.70273192,30.87005021
402,265318,67,78,2499724,1633,0,2387.483752,178495136,0,0,13.706961,29.69713791
402,265318,52,86,2499724,1633,0,2767.227167,178495214,0,0,26.56505118,16.87601849
402,397178,33,90,2499724,1611,1,241.00752,178495289,0,0,17.05331477,18.13725448
403,14703,59,87,2499724,1633,1,779.452414,178495431,0,0,24.08423281,17.18138528
402,7936,67,86,2499724,1611,1,975.492937,178495462,0,0,16.58733856,21.61480974
402,397178,33,87,2499724,1611,1,1022.406112,178495479,0,0,16.83988461,20.69589331
402,105338,52,82,2499724,1611,1,1070.422356,178495494,0,0,20.87464683,21.65917819
402,397178,29,85,2499724,1611,1,1210.905148,178496002,0,0,13.71053643,24.62194143
402,397178,27,85,2499724,1611,1,1211.862908,178496028,0,0,12.55582765,25.74024087
401,38,33,89,2499724,1611,1,1538.373244,178495622,0,0,17.10272897,18.95257238
401,7905,43,75,2499724,1611,1,1761.647328,178495679,0,0,14.69178911,30.5181913
402,14703,67,90,2499724,1633,1,1941.586958,178495779,0,0,17.05331477,18.13725448
402,7936,30,89,2499724,1611,1,2417.467148,178495872,0,0,14.30149981,20.74222746
401,8582,32,93,2499724,1633,1,2632.085475,178495975,0,0,14.38981512,16.67093279
402,7941,63,77,2499724,1633,1,2818.217147,178496014,0,0,14.49756435,29.49440625
401,12536,33,87,2499725,1613,0,283.438159,178442509,0,0,16.83988461,20.69589331
401,11152,51,82,2499725,1624,0,527.583552,178442326,0,0,20.95577673,21.61480974
402,54,46,74,2499725,1624,0,981.146381,178442483,0,0,14.46341751,31.36367325
403,8717,49,95,2499725,1624,0,1285.833264,178442583,0,0,66.73229519,6.05309838
402,54,33,85,2499725,1624,0,1558.399351,178442682,0,0,16.28376735,22.56014184
403,8717,43,88,2499725,1624,0,2101.809141,178442821,0,0,27.34987578,15.45056633
402,54,26,77,2499725,1624,0,2449.016394,178442956,0,0,11.20706763,33.62142174
402,13484,53,72,2499725,1624,0,2487.481132,178442965,0,0,13.51060886,33.68560523
402,54,47,71,2499725,1624,0,2680.316921,178444076,0,0,13.05314727,34.88266045
401,8717,51,75,2499725,1624,1,22.546079,178443159,0,0,15.17880508,30.01066477
401,12536,37,94,2499725,1613,1,235.138058,178443225,0,0,21.80140949,12.64911064
402,8717,50,89,2499725,1624,1,354.306134,178443269,0,0,33.71679754,13.2
401,54,63,74,2499725,1624,1,614.628581,178443347,0,0,13.18296516,32.88768767
401,8717,34,86,2499725,1624,1,1044.719303,178443472,0,0,17.35402464,21.12060605
401,54,36,92,2499725,1624,1,1054.867057,178443477,0,0,20.85445804,14.75127113
402,210044,51,75,2499725,1624,1,1917.69172,178443741,0,0,15.17880508,30.01066477
401,70215,36,82,2499725,1613,1,2075.801577,178443839,0,0,16.69924423,24.33105012
401,70215,39,96,2499725,1613,1,2259.921292,178443884,0,0,24.44395478,10.02397127
402,8004,35,90,2499725,1613,1,2469.700061,178443938,0,0,19.44003483,16.97056275
402,8717,58,89,2499725,1624,1,2738.004318,178444034,0,0,27.92897871,14.66969666
403,20857,64,95,2499726,1619,0,81.310025,178218714,0,0,18.26459517,12.70590414
402,383,43,94,2499726,1619,0,210.14428,178218726,0,0,40.60129465,9.121403401
401,7885,31,76,2499726,1619,0,384.812286,178218750,0,0,12.43956202,32.5650119
403,343951,52,94,2499726,10531,0,587.500749,178218961,0,0,56.30993247,7.375635566
401,20857,45,95,2499726,1619,0,1052.351893,178218921,0,0,53.13010235,7.211102551
401,8144,41,89,2499726,1619,0,1144.011512,178218952,0,0,26.6871053,15.0359569
402,8116,33,93,2499726,1619,0,1246.441869,178218986,0,0,15.67205474,15.98499296
401,8116,32,80,2499726,1619,0,1426.815255,178219017,0,0,14.04748675,27.9885691
402,8144,49,78,2499726,1619,0,1483.717801,178219065,0,0,17.21607359,26.41211843
401,8144,46,86,2499726,1619,0,2089.542929,178219196,0,0,25.92490151,17.10204666
402,70389,74,86,2499726,1619,0,2092.32842,178219197,0,0,11.95268215,25.51234995
402,61988,50,78,2499726,1619,0,2153.497367,178219216,0,0,17.23129637,26.4
402,703,55,93,2499726,1619,0,2195.054245,178219224,0,0,43.60281897,9.30376268
401,343951,61,91,2499726,10531,1,56.325238,178219653,0,0,25.8815114,13.93125981
402,262,66,91,2499726,10531,1,59.09128,178219655,0,0,18.09111576,16.74753713
401,383,49,81,2499726,1619,1,139.240426,178219508,0,0,19.87798481,22.81403077
402,8116,25,80,2499726,1619,1,144.664184,178219510,0,0,11.30993247,31.2409987
401,8192,20,79,2499726,10531,1,241.873967,178219732,0,0,9.575486013,34.8
401,20857,66,93,2499726,1619,1,356.793771,178219555,0,0,17.10272897,15.31012737
403,8116,43,90,2499726,1619,1,941.399118,178219695,0,0,31.06516489,13.24235629
402,20857,60,81,2499726,1619,1,962.690953,178219702,0,0,17.80791391,24.1627813
401,20857,28,91,2499726,1619,1,1327.764256,178219820,0,0,11.88865804,20.6494552
402,61988,49,82,2499726,1619,1,1458.602795,178219868,0,0,20.95577673,21.61480974
401,383,41,70,2499726,1619,1,1985.758724,178219995,0,0,12.20189051,36.7129405
403,703,57,96,2499726,1619,1,2033.156187,178220004,0,0,45,7.375635566
401,383,54,85,2499726,1619,1,2222.412603,178220083,0,0,24.34621387,18.28223181
402,70389,66,78,2499726,1619,1,2486.607144,178220156,0,0,14.03624347,29.33939331
402,215983,25,79,2499726,1619,1,2635.721968,178220183,0,0,11.19051235,32.17203755
401,20593,36,90,2499727,1644,0,417.173119,178082823,0,0,20.74608028,16.41462762
